item,prefix,expected,within_category,between_category,cloze_expected,constraint
98,Time after time the area had been devastated by the eruption. Yet people continued to build their houses on the,volcano,mountain,moon,0.8140000000000001,high
99,"The Sun seems unique to those of us on Earth, but that it just because we are close to it. From somewhere else, it would seem like just another",star,moon,mountain,0.843,high
100,The little girl wondered what caused the tides. She was surprised to find out it was the,moon,star,volcano,0.32799999999999996,low
101,"Fred went to the pantry and got out the homemade jelly his grandmother had brought. Fifteen minutes later, however, he was still struggling to open the",jar,box,zipper,0.784,high
102,"After they unpacked the new refrigerator, they let Billy have his fun. He played for days afterwards with the big",box,jar,button,0.746,low
103,It seemed to catch everytime she opened or closed her backpack. She decided she would have to replace the,zipper,button,box,0.94,high
104,"One fell off her blouse and got lost, and she didn't have any extras. She ended up searching all over town to find a matching",button,zipper,jar,0.909,high
105,"It took amazingly little time for them to clear the land for the highway. They did most of it using one, huge",bulldozer,crane,tank,0.49,low
106,The woman on the seventeenth floor had a piano delivered to her apartment yesterday. My son wanted to watch them operate the,crane,bulldozer,submarine,0.322,low
107,"""Raise the periscope!!"" shouted Sam. My son was playing with his toy",submarine,tank,crane,0.449,low
108,"The soldier shot desperately as it lumbered toward him, but its armor was too thick. There was no way he was going to be able to stop the",tank,submarine,bulldozer,0.254,low
109,"""Checkmate,"" Rosaline announced with glee. She was getting to be really good at",chess,monopoly,baseball,0.94,high
110,Justin put a second house on Park Place. He and his sister often spent hours playing,monopoly,chess,football,0.932,high
111,He caught the pass and scored another touchdown. There was nothing he enjoyed more than a good game of,football,baseball,monopoly,1,high
112,Rich couldn't count the number of Yankees games he had seen with his father. They both shared a lifelong interest in,baseball,football,chess,0.983,high
113,Kelly was furious when she lost the tennis tournament. She got so upset that she actually broke her,racket,bat,doll,0.98,high
114,"With it, Scott had hit homerun after homerun. So he was inconsolable when he lost his favorite",bat,racket,rattle,0.915,high
115,It seemed to fascinate the baby that he could shake it and make a lot of noise. His parents were kind of sorry they had decided to give him a,rattle,doll,bat,0.9,high
116,The little girl spent hours feeding it and changing its diapers. Her most prized possession seemed to be that,doll,rattle,racket,0.78,low
117,Peter sat gaping at the centerfold. He asked his friend if he could borrow the,magazine,book,pencil,0.84,high
118,The package was rectangular and heavy and suspiciously academic. Bianca was disappointed that her uncle was giving her a,book,magazine,pen,0.608,low
119,Don looked dismayed when he found out the test was Scan-tron. He hadn't thought to bring a,pencil,pen,book,1,high
120,The first one she pulled out was out of ink. So she opened her bag again and looked for another,pen,pencil,magazine,0.9490000000000001,high
121,"She had begun knitting well before Christmas, and now she had only the sleeves left. She guessed that her mother would really like the",sweater,tee-shirt,brush,0.96,high
122,Bruce pulled the Metallica one out of the bottom of his drawer. He was down to his last,tee-shirt,sweater,razor,0.49200000000000005,low
123,The stubble on his chin made him look really unkempt. He regretted forgetting to pack a,razor,brush,sweater,0.82,high
124,"Cindy wanted to touch up her hair, but she hadn't brought her purse into the bathroom. She asked her friend if she could borrow a",brush,razor,tee-shirt,0.672,low
125,The new surgeon decided it was time to start cutting. He took a deep breath and picked up the,scalpel,needle,scissors,0.68,low
126,The little girl screamed when the doctor tried to give her a shot. Her antics caused him to actually drop the,needle,scalpel,stapler,0.7879999999999999,high
127,The TA was frustrated when the student handed her the ten loose sheets of his paper. She asked him to please go find the,stapler,scissors,needle,0.755,low
128,The child told her father she had cut herself making a paper snowflake. He told her that she should be more careful handling the,scissors,tapler,calpel,0.948,high
129,"Exploring a little cave near his house, Jacob suddenly found himself in the dark. Something seemed to have gone wrong with his",flashlight,chandelier,toaster,0.765,low
130,"The gold and crystals scattered the light around the diningroom, and Walter stared up in awe. He wished that he owned a",chandelier,flashlight,blender,0.345,low
131,"He put the icecream and the milk in for his shake, but he forgot to put on the cover. Disaster struck when he turned on the",blender,toaster,flashlight,0.96,high
132,"The slices of bread never popped up, and they burned to a crisp every time. She sighed, realizing she would have to buy a new",toaster,blender,chandelier,0.961,high
